Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2025-04-21,192.9070281982422,193.54618940120912,189.56140949031536,193.01688474432112,46742500
2025-04-22,199.47842407226562,201.32599215129426,195.71335703344474,195.8631544964882,52976400
2025-04-23,204.33206176757812,207.7276030292648,202.5344160012944,205.7302222309065,52929200
2025-04-24,208.09710693359375,208.5565112075726,202.67422555441442,204.62166872266098,47311000
2025-04-25,209.00592041015625,209.47530610539675,205.92995222724628,206.0997277622984,38222300
2025-04-28,209.8647918701172,211.2230113707532,207.1883090170199,209.72497582911666,38743100
2025-04-29,210.9333953857422,211.96204522644123,208.09710321217068,208.41669143858087,36827600
2025-04-30,212.22171020507812,213.30029766677714,206.399343338795,209.02590396975114,52286500
2025-05-01,213.04063415527344,214.2790004444518,208.62640936955898,208.80618155790114,57365700
2025-05-02,205.08106994628906,206.71892151455646,201.89524528415058,205.82009105417706,101010600
2025-05-05,198.62953186035156,203.83271551835597,197.9504297070337,202.83402512431957,69018500
2025-05-06,198.25001525878906,200.38721199140494,196.7619763948813,197.9504203457911,51216500
2025-05-07,195.99298095703125,199.1788056079939,192.99690991055434,198.90915494694545,68536700
2025-05-08,197.2313690185547,199.78801395815432,194.42503624466005,197.46106353953903,50478900
2025-05-09,198.27000427246094,200.2773664943336,197.28129528859796,198.739389980464,36453900
2025-05-12,210.7899932861328,211.27000427246094,206.75,210.97000122070312,63775800
2025-05-13,212.92999267578125,213.39999389648438,209.0,210.42999267578125,51909300
2025-05-14,212.3300018310547,213.94000244140625,210.5800018310547,212.42999267578125,49325800
2025-05-15,211.4499969482422,212.9600067138672,209.5399932861328,210.9499969482422,45029500
2025-05-16,211.25999450683594,212.57000732421875,209.77000427246094,212.36000061035156,53659100
2025-05-19,207.11000061035156,208.27000427246094,204.25999450683594,208.02499389648438,16101569
